key_bom	key_omdb	key_wiki
	o8284	w10824
	o22387	w13917
b6747	o8366	w20443
	o11162	w18548
b9973	o7515	w30574
b1508	o1005	w3043
	o20991	w23219
b4067	o12838	w11595
	o7708	w3177
	o19546	w17032
	o21702	w15615
	o18512	w6005
	o19057	w9341
	o281	w39630
	o12058	w24142
	o22570	w41348
	o13075	w29296
b10344	o7032	w31634
	o4113	w20452
	o1387	w21750
	o4652	w33556
	o23060	w8547
	o6508	w41172
	o2021	w9593
	o17191	w40601
	o13369	w11317
	o22746	w25972
	o3728	w14453
	o11179	w21975
b11221	o5150	w34753
	o8492	w8771
	o8454	w413
	o17743	w10798
	o11093	w5643
b4932	o16139	w14412
	o15009	w25737
	o4250	w42264
b13276	o16669	w15634
	o17514	w24573
	o13242	w38640
b8231	o11725	w25004
	o15516	w7901
	o726	w39637
	o15242	w39256
	o19398	w24057
	o5153	w35391
	o8664	w6232
	o6440	w28056
	o12714	w23439
	o4805	w42841
	o8495	w9983
	o18712	w35417
b697	o3249	w865
	o14184	w1906
b5803	o6089	w17583
b3621	o7937	w10289
	o10546	w4559
	o6180	w31740
	o6771	w2912
	o20391	w10053
	o19111	w28159
	o15166	w30987
	o1603	w29267
	o22653	w9046
	o19227	w39157
	o21429	w29616
	o6032	w4954
	o19776	w38972
	o17491	w6784
b9135	o6439	w27756
	o17808	w27996
	o1248	w19517
	o1004	w2973
	o8349	w15006
	o465	w33939
	o22604	w374
	o11689	w12942
	o5532	w22537
	o2183	w40738
	o17237	w25790
	o10993	w16027
	o15072	w7398
	o12657	w6234
	o10038	w31011
b10820	o9744	w33329
	o1818	w22291
b10549	o10047	w32422
b7549	o5374	w22653
	o19504	w9067
	o397	w19531
	o17257	w37346
	o20824	w24448
	o2911	w11316
	o18426	w367
	o9894	w6706
	o19341	w39725
	o11517	w34567
	o4452	w34718
b15571	o16740	w39395
	o452	w30842
b4786	o2264	w13975
b16286	o8201	w41268
	o4670	w4139
	o5016	w40547
	o6045	w8015
	o6296	w39436
b5100	o9941	w15064
	o6100	w19150
	o15865	w1260
	o2836	w20726
b10724	o21964	w32939
	o19770	w38334
	o13084	w32443
	o13981	w34645
	o16613	w34892
	o9620	w5456
	o15468	w39437
	o37	w5659
	o22123	w22444
	o5196	w33336
	o5584	w40714
	o9224	w29937
b16110	o6837	w40747
	o19701	w37703
b1488	o18074	w2984
b15161	o9806	w42992
	o12382	w6285
	o21734	w34296
	o9458	w23626
	o12572	w10526
b5041	o15754	w14761
	o6569	w31116
	o10886	w19944
	o18578	w18168
b10576	o1189	w32492
	o13064	w25949
	o17252	w33535
	o10295	w30853
	o13980	w34513
	o14627	w12802
	o6552	w19694
	o14002	w2759
	o13590	w2839
b11733	o7532	w36276
b8176	o13537	w24791
	o15156	w26738
	o3583	w42740
	o7043	w3512
	o12704	w20023
	o16053	w41862
b15634	o15851	w39583
	o10783	w16120
	o19942	w29443
	o1816	w21688
	o17156	w39773
b15495	o22308	w39097
	o5697	w17862
	o4669	w3308
	o7679	w27770
	o14683	w21361
b3378	o13481	w9494
	o6724	w26351
	o6689	w16026
	o2944	w23852
	o9281	w37440
	o2863	w29084
	o5759	w28133
	o9278	w37118
	o14124	w34563
	o12459	w17511
b12721	o2675	w7779
	o11612	w35663
	o16728	w37973
b8709	o11733	w26465
	o10866	w9764
	o6621	w40342
	o20890	w24141
	o3001	w42335
	o10484	w6223
b15581	o16742	w39435
	o10377	w39458
	o21007	w27960
	o2245	w7483
	o9025	w42821
	o11504	w12753
	o17423	w3032
b11804	o22285	w36557
	o21776	w38700
	o4631	w23363
	o20937	w9095
b1765	o16094	w3819
	o7576	w20613
	o17948	w8829
b7738	o10454	w23317
	o21379	w14935
b8430	o11730	w25649
	o13921	w18267
	o15143	w20175
	o19321	w21505
b8950	o6727	w27319
	o8206	w41867
	o15616	w15951
	o6123	w22094
b11809	o20604	w36576
	o11555	w19679
	o2984	w42465
b13318	o20403	w15873
	o4552	w10621
	o22804	w35024
	o2894	w4778
	o17314	w31428
	o14765	w31676
	o9062	w4404
	o9539	w26618
	o16151	w18411
	o11094	w5640
	o21480	w8590
	o14553	w9012
	o8078	w30283
	o10172	w80
b4336	o16432	w12376
	o18713	w35475
	o17242	w28181
b14016	o8429	w25752
	o14061	w42194
b14610	o9015	w33660
	o13932	w21555
	o7940	w11057
	o8135	w8370
	o4865	w15271
	o16313	w42241
b378	o8216	w22491
	o10524	w15340
	o8328	w5966
	o8747	w31998
	o22553	w31799
b9562	o8924	w29108
b5538	o14093	w16485
	o1696	w35998
	o21017	w30463
	o1048	w10967
	o4130	w28953
	o8586	w36960
	o21324	w27071
	o403	w21205
	o5562	w17958
b1046	o10535	w1706
b3577	o10577	w10194
b12946	o5451	w11454
b11181	o13576	w34586
	o19188	w23318
	o16883	w10398
	o15019	w30712
	o14169	w43204
	o21587	w19051
	o4361	w25873
	o1591	w26451
b8892	o18648	w27031
	o6131	w24630
	o13774	w32106
b15948	o3568	w40284
b11711	o2117	w36206
	o22830	w3833
	o5859	w39059
	o15390	w31552
	o10143	w38784
	o12844	w17935
	o17292	w17920
	o14341	w32821
	o3565	w39758
b16806	o20039	w43191
	o22802	w34933
	o13145	w12939
	o12645	w5737
b6464	o5707	w19677
	o23003	w25992
	o19372	w12216
	o2685	w18303
	o6158	w28130
	o34	w5426
b14338	o22038	w30255
	o2358	w38562
	o9368	w43004
	o2202	w24329
	o22677	w11941
	o15633	w31353
	o20965	w17036
	o14524	w35004
	o12354	w1279
	o15370	w26069
	o3653	w5779
b8903	o13749	w27133
	o13197	w31476
	o19475	w3722
	o14700	w23679
	o4766	w34030
	o11560	w23751
	o13137	w12038
	o5686	w16894
b973	o16336	w1387
	o12082	w3638
b368	o7403	w21761
	o18037	w220
	o17440	w21586
	o8654	w43025
	o6743	w31641
b4092	o3336	w11695
	o12259	w23747
	o8061	w27677
	o22796	w34144
	o11873	w16049
	o15682	w40943
	o21420	w27075
	o18348	w24085
	o6193	w32630
	o8615	w25234
b9505	o10638	w28946
	o3667	w7589
	o18337	w20546
b8251	o3156	w25091
	o12644	w38
b14276	o16703	w29568
	o8068	w28764
	o19732	w22572
b12211	o14130	w37847
	o10742	w32241
	o8294	w20961
b1600	o3633	w3297
b14048	o15452	w26596
b3233	o3674	w8933
b10758	o9742	w33056
	o1968	w26016
	o14636	w13860
b10713	o5419	w32900
	o22209	w39320
	o8648	w42003
b8143	o3047	w24692
b375	o17344	w22387
	o12238	w14021
	o13307	w19580
	o14057	w39318
	o22468	w33028
	o13253	w41487
	o19860	w11294
b4544	o5075	w13089
	o20848	w40398
	o15636	w34263
	o7639	w17091
	o5777	w32600
	o14253	w14195
	o21811	w1946
	o19091	w22738
	o3392	w20696
	o16671	w16705
b8179	o10627	w24797
b13606	o14538	w20615
	o12051	w12906
	o18105	w8219
	o4645	w28984
	o22515	w13125
b6707	o19273	w20317
	o6021	w4020
	o1752	w6467
b16653	o2740	w42760
	o2797	w15398
b4495	o19869	w12929
	o9482	w31237
b14133	o17668	w27919
	o8977	w9008
	o9369	w43078
	o21	w3619
	o7716	w8135
	o11272	w36474
	o4476	w17227
	o18039	w321
	o21414	w26321
	o6708	w20402
	o16059	w42801
	o814	w26728
b8740	o20273	w26578
	o7605	w3632
	o4659	w36958
b3643	o16418	w10370
	o12288	w35279
b1780	o5042	w3870
	o2474	w9884
b2223	o20111	w5471
	o15360	w24866
	o8727	w7242
	o8149	w18193
	o21947	w27957
b535	o20478	w40807
b2185	o9404	w5316
	o2730	w40264
	o19806	w62
	o14138	w8504
b5724	o5346	w17234
b12625	o3508	w5987
b4928	o6385	w14404
	o265	w42388
	o14533	w15436
	o18055	w1219
	o22370	w8644
	o9279	w37388
	o2314	w31553
	o5404	w28413
	o12891	w10201
	o197	w34439
b14871	o10129	w39062
	o14943	w7120
	o6362	w7903
	o4232	w39728
	o11022	w3917
	o15063	w41457
b8377	o5386	w25526
	o12950	w545
	o8708	w31879
	o17110	w27836
	o19052	w8218
b1988	o1014	w4635
	o22460	w31007
	o370	w15930
	o17202	w4374
	o9057	w2809
	o14998	w24423
	o5337	w13627
	o15085	w4340
	o7157	w28518
	o13001	w13543
b10491	o16600	w32209
b13766	o22025	w22085
	o839	w32819
	o10298	w32360
b10589	o3878	w32519
	o15356	w22988
	o4311	w31638
	o10810	w23547
	o11045	w40778
	o5051	w6416
b3800	o7448	w10932
	o10538	w2316
	o12260	w23985
b15242	o18023	w38145
	o12781	w22658
	o23047	w37268
 who lives at home"	b6581	o2540
	o1725	w43003
	o5306	w5662
	o22168	w14178
	o10039	w31063
	o19272	w17795
	o5919	w17022
	o9310	w22336
	o18529	w11264
	o2728	w39924
	o11643	w925
	o16604	w33662
	o16617	w35713
	o17132	w42323
b10826	o21967	w33418
	o13370	w11319
	o22089	w3217
	o7240	w23233
	o12467	w18862
b13930	o7062	w24127
	o9630	w6982
	o12362	w2909
	o14010	w14958
	o19890	w20051
	o8729	w8154
	o15056	w39377
	o2951	w28200
b1082	o20069	w1783
	o15907	w19101
	o18287	w35620
	o5326	w10689
	o18807	w28641
	o6078	w15123
	o14564	w1306
	o6711	w21542
b10065	o1424	w30845
	o14348	w34012
	o9046	w638
	o4780	w37371
	o2895	w4901
b10965	o3472	w33826
b2131	o7428	w5154
b2833	o7436	w7477
	o21730	w30195
	o2997	w41468
b3860	o2481	w11095
b12871	o18315	w10067
	o3287	w4555
	o9084	w7752
	o15550	w19705
	o4363	w31378
	o21131	w35699
	o18687	w31250
	o7187	w35445
	o6713	w22703
	o7324	w13966
	o11168	w19673
b4612	o2262	w13374
	o4081	w9709
	o4287	w19492
b1995	o20492	w4619
	o3904	w36020
	o12093	w6631
	o7699	w36353
	o20962	w16748
b3992	o16125	w11505
	o19528	w12995
	o10566	w7687
	o19267	w14162
	o4890	w20755
	o19235	w41442
	o17002	w26405
	o15129	w17584
	o8844	w17651
	o8501	w13227
b7781	o1145	w23481
	o23077	w21239
	o11547	w16983
b3475	o13691	w9814
	o13086	w32626
b5662	o5089	w16963
	o11999	w31730
	o5999	w542
	o17952	w10016
	o2889	w505
	o8384	w27350
b153	o13433	w37
	o18132	w11118
	o20498	w6415
	o13331	w29991
	o8340	w10949
	o3824	w25997
	o15689	w3522
	o7505	w27216
	o7252	w29332
	o14704	w23790
	o13933	w22152
	o7068	w38905
b415	o9845	w25760
	o17425	w3807
	o17176	w42311
	o10356	w20691
	o22847	w20219
	o13330	w29837
	o20717	w17509
	o12526	w29469
	o10812	w24283
	o4896	w23644
b1141	o9591	w1927
	o13650	w7544
b3627	o1347	w10327
b4955	o6386	w14493
b13042	o20395	w12509
	o19708	w2029
	o8736	w16283
	o20553	w20072
b16142	o16755	w40842
	o19202	w33821
	o12685	w14441
	o472	w34945
	o14288	w19047
	o21464	w36980
	o258	w38378
b14547	o5571	w32989
	o22776	w29278
b13590	o2143	w20293
	o14264	w16593
	o91	w15986
	o12880	w1332
b3253	o3677	w9014
	o14876	w39023
	o11892	w20385
	o8733	w13332
	o4543	w4695
	o21673	w5609
	o13237	w37891
	o13875	w7688
	o22355	w5350
	o1284	w38117
b3395	o10975	w9555
	o12574	w11331
	o6612	w42036
	o1665	w22213
	o13200	w32224
	o17243	w28035
	o13948	w25400
	o14701	w23687
	o4732	w24018
	o13294	w14175
	o22569	w41318
	o12538	w31393
	o14790	w35547
	o8560	w29744
	o13002	w13779
b913	o7413	w1450
	o12138	w17462
	o6535	w13778
	o17134	w37945
	o18488	w3748
	o16253	w2675
	o860	w6049
b6917	o3393	w20817
	o15451	w25237
b12989	o5173	w11895
	o4850	w9193
b6108	o8853	w18641
	o14935	w5823
	o5659	w10947
b15148	o10703	w42804
	o11472	w35652
	o651	w33893
b7383	o11716	w22043
	o5570	w30320
b379	o21543	w22496
b2722	o12827	w7150
	o5102	w21113
	o2048	w16801
	o139	w24937
	o7225	w14508
	o9394	w3106
	o11349	w38771
	o11957	w5626
b16420	o1303	w41714
	o17246	w28444
b13416	o5459	w17641
b172	o18038	w239
	o736	w42117
	o9022	w40838
	o5561	w16936
	o22146	w29819
	o22873	w32268
	o12660	w6469
b975	o18059	w1430
	o11425	w23947
	o10974	w9460
	o6872	w9588
	o547	w39383
	o7988	w18486
	o9209	w28879
	o13863	w5602
	o5329	w11516
	o11079	w3769
	o11625	w41544
	o13805	w17844
	o956	w205
	o297	w637
	o6226	w37067
b9716	o3856	w29629
	o5609	w2439
	o15398	w34055
	o4451	w33792
	o7499	w26074
	o1632	w37870
	o18099	w8000
	o1386	w20976
	o12248	w21340
	o22603	w28164
	o14406	w24381
	o6504	w40624
	o16811	w31220
b6461	o1120	w19659
	o12080	w2566
	o8168	w38985
	o14001	w942
	o14914	w43200
b16301	o13829	w41365
b14246	o22035	w29220
	o8077	w30014
	o1622	w35753
b14240	o18809	w29202
	o6095	w18569
	o19587	w22513
b11842	o6221	w36711
	o569	w38596
b6639	o1122	w20119
	o681	w9817
	o10115	w29974
	o17280	w12286
	o17769	w20453
	o15651	w41733
	o21229	w24400
	o12059	w25195
b3940	o3700	w11379
b8622	o6435	w26278
	o17654	w5069
	o6870	w8822
b7030	o8871	w21135
	o10412	w10354
b3002	o10970	w7985
	o19175	w14161
	o20790	w6147
	o3163	w27263
	o19193	w27009
	o23089	w36324
b3121	o2018	w8480
	o21797	w20787
b5908	o7983	w18043
	o3720	w13312
b1983	o1013	w4620
	o21338	w4873
	o7135	w22327
b3301	o12400	w9187
	o8338	w10868
	o13838	w286
	o12218	w6704
	o6135	w25323
	o4093	w16615
	o9756	w36209
	o12530	w30048
	o7774	w25165
	o12786	w33835
	o658	w36490
	o19754	w35150
	o9885	w5846
	o4897	w24299
b11879	o21997	w36855
	o15265	w415
	o22261	w26303
	o15603	w9091
	o9089	w8565
	o6459	w33270
b9667	o9730	w29476
	o17435	w17396
b13991	o18796	w25349
	o22820	w37201
	o5909	w464
	o20743	w25788
b2560	o10558	w6664
	o4770	w35384
b11896	o1215	w36882
	o14064	w42705
b11315	o14352	w35037
b4155	o17372	w11806
	o14152	w35661
	o9514	w3762
	o21142	w40145
	o8204	w41725
b4503	o5333	w12959
b2255	o18507	w5561
	o9643	w10024
	o6184	w31858
	o1595	w28000
	o6789	w15683
	o21913	w21646
	o7313	w7499
	o13857	w3473
	o15203	w12537
	o17354	w4456
	o22952	w11112
	o7435	w7458
	o20238	w21800
b12424	o21625	w3142
	o12987	w11622
	o471	w34605
	o4671	w5159
	o11173	w12790
	o22874	w32665
	o13339	w33054
	o13871	w6752
	o4722	w20997
	o10899	w28689
	o8640	w40173
b16672	o8652	w42782
b1400	o16348	w2692
b12535	o5252	w4834
	o1592	w26878
	o16907	w13372
	o16207	w29510
b16462	o19023	w41833
	o11159	w17967
	o22395	w15933
	o20879	w9438
	o10379	w40362
	o13530	w23293
	o17200	w3334
	o21801	w442
	o9199	w27994
b11652	o16239	w36093
	o6907	w29275
	o22390	w13961
	o6220	w36370
	o14024	w22564
	o20926	w6306
	o5930	w30184
	o13893	w11041
	o13249	w39943
	o97	w16957
	o5839	w24221
	o17231	w20650
	o19165	w11311
	o6011	w1689
	o22904	w39985
	o12325	w39945
	o5998	w480
	o10110	w26958
	o14004	w3837
	o611	w18512
	o8883	w22254
	o18568	w16098
	o3542	w33148
	o10315	w35897
	o19463	w535
	o12679	w11552
	o9480	w30868
	o19382	w16016
	o13380	w14714
	o12474	w20701
	o13017	w17045
	o6606	w31901
	o1330	w4505
b9469	o15160	w28815
	o15369	w25984
	o17268	w4570
	o18919	w11710
	o22166	w12526
	o3070	w5087
b10165	o12737	w31106
	o6249	w15625
b1264	o3625	w2321
	o408	w21787
b2696	o19841	w7092
	o11300	w9952
	o11765	w35356
b8531	o151	w25990
	o8298	w32485
	o2937	w20906
	o6799	w23980
	o4033	w43172
	o2682	w13684
	o8055	w26995
	o8536	w23875
	o8017	w21514
	o13682	w8620
	o11223	w28512
	o4676	w6911
b714	o21548	w904
	o13314	w22883
	o21765	w36263
	o7180	w34443
	o10843	w35833
	o4133	w29858
	o19234	w41382
	o15534	w14688
	o2226	w2226
	o10051	w33122
	o22523	w18957
	o1716	w41234
b12479	o13591	w3840
	o9617	w5236
b14388	o20428	w30611
	o9156	w21724
	o4219	w40766
	o7756	w19603
	o15620	w22210
	o9551	w33632
b4893	o15323	w14266
b3585	o13692	w10208
	o12178	w25804
	o20160	w11975
	o11123	w10660
	o11192	w24769
	o2652	w36871
b15605	o18385	w39497
	o22491	w37458
	o22946	w7026
	o4871	w17335
	o11962	w9572
	o6419	w20658
	o19345	w41535
	o22403	w17079
	o14985	w18751
	o22711	w18681
	o20757	w31761
	o13861	w4945
	o16672	w17941
	o7522	w32417
	o4373	w38072
	o12608	w39111
	o6548	w18460
b7401	o19907	w22086
b10471	o17637	w32149
b6612	o14987	w20047
	o9407	w6253
	o14646	w16052
	o279	w39310
	o11505	w14022
	o15781	w20955
	o10829	w32040
	o16220	w33277
	o10898	w27114
	o6315	w41917
	o837	w32693
b783	o16073	w1073
b710	o20055	w886
b7129	o124	w21207
	o22831	w5518
	o54	w9053
	o9228	w30185
	o18496	w4490
b2240	o18506	w5531
	o8647	w41161
	o11311	w19775
	o1941	w43086
b8342	o15008	w25425
	o19784	w40333
	o12557	w35890
	o9319	w31414
	o16983	w24681
	o12499	w25646
	o9871	w2622
b14346	o1466	w30266
	o6166	w28928
	o15531	w13617
	o15799	w26857
	o12676	w11133
	o7792	w31154
	o16810	w31196
b11435	o5426	w35472
	o4985	w30300
b11241	o13579	w34796
	o21680	w7655
	o12779	w19549
b14176	o2154	w28351
	o9824	w41756
	o17125	w31990
	o6888	w18760
	o21665	w3675
	o15921	w24957
	o6469	w35665
	o21785	w38713
b8004	o8034	w24336
b9324	o13758	w28340
	o16931	w16332
	o20216	w19522
	o3021	w6200
	o12200	w34509
	o5907	w37800
	o17058	w36811
	o8756	w38859
	o15108	w10872
b12893	o5448	w10367
	o16460	w15495
b10244	o10645	w31351
b12304	o10069	w1329
	o10100	w21605
	o6800	w25115
	o21087	w16631
	o7300	w38481
	o5824	w15247
	o13825	w39350
	o4214	w39155
	o668	w2676
	o22583	w38384
	o19562	w19669
b12473	o670	w3803
	o11235	w30259
b10317	o1429	w31581
	o11917	w31236
	o6929	w11524
b15734	o6502	w39827
	o6890	w19326
	o10314	w19046
	o21738	w35194
	o21163	w40455
	o13736	w22422
	o582	w6614
	o5525	w18808
b3246	o9637	w8987
	o17819	w30572
	o5929	w27791
	o15342	w20062
	o15269	w674
	o21685	w9603
	o13457	w4027
b10247	o16588	w31367
	o14577	w3979
	o11442	w2963
	o19042	w3663
	o21539	w40345
	o10505	w37116
	o19129	w34326
	o15520	w9317
	o22065	w42107
	o3387	w20457
	o16771	w42681
	o4280	w17127
	o14030	w24304
b7870	o1397	w23741
b14539	o6944	w32790
b14100	o2151	w27269
	o20785	w881
	o13979	w34494
	o19061	w11878
b2427	o3126	w6242
	o16567	w29474
	o2979	w40457
	o21722	w27104
	o17273	w7426
	o10911	w33217
	o14973	w14283
	o14343	w33407
b2837	o13475	w7503
b2640	o2240	w6885
	o15911	w20389
	o8356	w16817
	o8783	w1495
	o7134	w21084
b7281	o16513	w21778
b3774	o5060	w10889
b8901	o5538	w27122
	o13600	w12480
	o18997	w23857
	o9387	w1746
	o16964	w21277
	o17179	w42834
	o9696	w20890
	o18029	w42053
	o12357	w1634
	o20816	w21698
b7937	o11720	w24117
	o21698	w14443
	o13016	w17037
	o7274	w38947
	o5380	w24790
b8538	o5117	w26004
	o13003	w13830
	o6961	w40207
	o19297	w35823
	o9229	w30276
b670	o16830	w803
	o11153	w17524
	o18541	w12679
	o3995	w39952
	o10667	w35513
	o22658	w9316
	o20518	w12233
	o13421	w39334
	o6946	w34637
b3617	o16416	w10279
	o11106	w6348
	o17205	w8659
	o2882	w36659
	o11524	w1249
	o5100	w20486
	o15632	w31141
	o425	w25204
b13527	o693	w19294
	o7266	w36591
b13580	o21286	w20050
	o1123	w20277
	o12435	w14494
b10976	o21971	w33859
	o6539	w15315
	o18228	w25957
b13449	o11785	w18179
	o13459	w4523
b14173	o4741	w28346
b11971	o5431	w37119
	o9352	w40580
	o12322	w39482
	o8907	w25757
	o18873	w42728
	o15250	w41490
	o19759	w40346
 haters"	b11406	o18285
b8630	o3830	w26291
	o4690	w11845
	o21597	w25102
	o131	w23576
	o5628	w5645
	o11232	w29741
b15995	o13636	w40430
b12650	o2673	w6591
	o6882	w16478
	o621	w20856
	o17357	w5112
	o7807	w34289
b4176	o3706	w11865
	o9234	w30826
	o14816	w13528
	o6187	w32054
	o15824	w37280
	o17982	w28005
	o1325	w3373
	o16736	w39015
	o5884	w40651
	o19721	w10108
	o7179	w34386
	o4637	w25481
	o14215	w8235
	o18671	w29783
b7521	o16518	w22577
b11530	o18715	w35774
	o15975	w9944
	o16421	w11064
	o13996	w37872
	o5012	w39915
	o22295	w9882
	o1620	w35095
	o20939	w10492
	o14433	w38333
	o5794	w36406
	o9072	w5933
	o17965	w20196
b13668	o13606	w21467
	o13959	w28858
	o15964	w2898
	o20798	w8588
	o12697	w17440
	o16004	w23156
	o1928	w39702
	o21507	w33281
	o2586	w27514
	o12440	w14885
b11541	o19967	w35801
b8271	o21933	w25184
b13907	o14143	w24008
	o3396	w21105
	o17943	w6520
	o5503	w2186
 reveries of the connected world"	b7525	o5373
	o1682	w30976
	o10552	w5582
b13922	o22301	w24036
	o21774	w38408
	o17317	w33350
	o5569	w29513
	o4406	w10055
	o13317	w25453
b6631	o2542	w20098
	o18645	w26904
	o1531	w10589
	o2687	w19185
	o1960	w19686
	o503	w12862
	o15794	w24634
b7296	o19905	w21809
	o1894	w21885
	o14774	w33712
	o16797	w2769
	o8601	w12290
	o16554	w27689
	o11551	w19013
	o3242	w37445
	o10179	w1197
	o22898	w38960
	o4603	w23350
	o6142	w25941
	o9513	w3134
	o16575	w30055
b13360	o8992	w16498
	o17161	w40005
	o5181	w21350
b3551	o16124	w10062
	o17800	w26511
	o18993	w10364
	o6327	w15978
	o14306	w24876
b1389	o5293	w2667
b11370	o203	w35233
	o12579	w14715
	o5273	w39083
	o6139	w25698
b14886	o16286	w39297
	o13483	w9726
	o1550	w16886
	o4847	w9075
	o6113	w21190
	o12805	w42637
	o18517	w6860
	o7198	w2526
b1992	o22227	w4647
	o4220	w41097
	o8759	w39525
b2388	o3296	w6068
	o19727	w14520
	o2573	w25304
	o11499	w5865
	o275	w38831
	o8966	w2298
	o15540	w17078
	o22450	w28080
b11249	o15031	w34840
	o4039	w13654
b13045	o2338	w12640
	o10927	w39121
	o6043	w7422
	o12391	w7414
b6127	o5353	w18495
	o10908	w32271
	o17760	w17106
 longer and uncut"	b11425	o2112
	o5946	w12275
	o17864	w10455
	o1008	w3829
b15068	o16289	w42046
	o4091	w13588
	o11450	w11481
	o22114	w17090
	o12410	w10944
	o21546	w29950
	o9157	w22205
b6813	o8519	w20533
	o1666	w22286
	o16054	w41863
b95	o955	w191
	o6120	w21897
	o9503	w37309
	o11511	w26890
	o12272	w28363
	o11974	w16171
	o9384	w419
b16526	o17469	w42109
	o10786	w16598
b7187	o20236	w21408
	o14534	w16063
	o16413	w10214
	o743	w35255
	o17219	w14474
	o18245	w28152
	o13129	w8373
 like rain"	b7432	o9991
b4272	o5072	w12129
	o16087	w2895
b10288	o3454	w31471
	o11661	w6235
b14672	o8164	w35074
	o12569	w6449
	o514	w24368
	o20837	w33690
	o6366	w8866
	o469	w34418
b2920	o6359	w7707
	o22998	w24415
b10280	o3873	w31468
	o6755	w34453
	o16681	w21518
b5185	o3735	w15319
	o7956	w13290
	o17518	w25516
	o18081	w4101
	o17854	w4867
	o6071	w13739
	o12328	w41175
	o6337	w548
	o2613	w32345
	o14962	w11182
	o86	w15212
	o7084	w37771
	o20540	w16259
	o16816	w40322
b16724	o5901	w42969
	o11411	w14835
b12391	o8592	w2597
	o3903	w35680
	o344	w8443
	o12982	w7631
	o3233	w65
b10842	o2624	w33489
	o4606	w23353
	o8717	w36421
b8041	o20256	w24439
	o7069	w37996
	o711	w32292
	o9976	w21021
b992	o7867	w19503
	o3787	w21327
b12378	o7536	w2435
	o20974	w17914
	o887	w21713
	o1828	w26431
	o19289	w29752
	o11503	w9283
	o12539	w31682
	o14299	w21366
	o11830	w4064
	o3311	w8967
b13409	o3520	w17561
	o15442	w14336
	o6936	w18337
	o2456	w7130
	o2880	w35236
	o14892	w41303
b10302	o2609	w31497
	o13962	w29734
b3272	o13479	w9082
	o10019	w27259
	o354	w11175
