index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer,actor_clean,director_clean,writer_clean,distributor_clean,composer_clean,cinematographer_clean,producer_clean,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
12,,w10344,o11442,"""""""dirty mary, crazy larry""""""",1974,1140000.0,28400000.0,23.91228070175439,1974-05-17 00:00:00,5.0,2.0,137.0,19.0,0.0,92.0,2.0,[Christopher Holmes],[Academy Pictures],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,b3890,w11190,o10624,"""""""dude, where's my car?""""""",2000,13000000.0,73200000.0,4.630769230769231,2000-12-15 00:00:00,12.0,4.0,350.0,50.0,0.0,82.0,3.0,[Kimberly Ray],[Alcon Entertainment],"""['Ashton Kutcher', 'Jennifer Garner']""",,,Fox,['David Kitay'],[Robert M. Stevens],"""['Broderick Johnson', 'Andrew A. Kosove']""","['Ashton Kutcher', 'Jennifer Garner']",[''],[''],['Fox'],['David Kitay'],['Robert M. Stevens'],"['Broderick Johnson', 'Andrew A. Kosove']",41238950.13151125,0.0,0.0,13539473.716561431,70.44884673546836,11.486462811099688,120.04109802342836
14,,w11373,,"""""""east side, west side (1949 film)""""""",,1754000.0,2540000.0,0.4481185860889396,,,,,,,,,[Harold F. Kress],[Metro-Goldwyn-Mayer],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,b3982,w11466,o12452,"""""""edison, the man""""""",1940,893000.0,1787000.0,1.0011198208286674,2040-05-10 00:00:00,5.0,2.0,131.0,19.0,0.0,107.0,6.0,[Fredrick Y. Smith],,"""['Spencer Tracy', 'Rita Johnson', 'Lynne Overman', 'Charles Coburn', 'Gene Lockhart', 'Henry Travers']""",['Clarence Brown'],['Talbot Jennings'],MGM,['Herbert Stothart'],['Harold Rosson'],['John W. Considine'],"['Spencer Tracy', 'Rita Johnson', 'Lynne Overman', 'Charles Coburn', 'Gene Lockhart', 'Henry Travers']",['Clarence Brown'],['Talbot Jennings'],['MGM'],['Herbert Stothart'],['Harold Rosson'],['John W. Considine'],65.0270727178006,4.858111837310768,2.551438512553609,1642114.0117335503,18.59626012222684,10.644330864609923,5.257596504766491
16,,w11483,o23097,"""""""edward, my son""""""",1-Mar,2421000.0,2142000.0,-0.11524163568773235,2049-06-01 00:00:00,6.0,2.0,152.0,22.0,0.0,,,[Raymond Poulton],[MGM-British],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,b4062,w11586,o11722,"""""""elvira, mistress of the dark""""""",1988,7500000.0,5596267.0,-0.25383106666666666,1988-09-30 00:00:00,9.0,3.0,274.0,39.0,0.0,96.0,3.0,[Battle Davis],[NBC Productions],Phil Rubenstein|Larry Flash Jenkins|Cassandra Peterson|Damita Jo Freeman,['James Signorelli'],,New World,[James B. Campbell],[Hanania Bier],"""[Eric Gardner, Mark Pierson]""","['Phil Rubenstein', 'Larry Flash Jenkins', 'Cassandra Peterson', 'Damita Jo Freeman']",['James Signorelli'],[''],['New World'],['James B. Campbell'],['Hanania Bier'],"['Eric Gardner', 'Mark Pierson']",-1.0153242666666666,-0.25383106666666666,0.0,32.02395726215735,-0.25383106666666666,-0.25383106666666666,-0.5076621333333333
18,b4379,w12472,,"""""""farewell, my lovely (1975 film)""""""",1975,2500000.0,2000000.0,-0.2,1975-08-08 00:00:00,8.0,3.0,220.0,31.0,0.0,95.0,4.0,"""[Joel Cox, Walter Thompson]""",[ITC Entertainment],['Sylvester Stallone*'],,,Embassy,[David Shire],[John A. Alonzo],['Jerry Bruckheimer'],['Sylvester Stallone'],[''],[''],['Embassy'],['David Shire'],['John A. Alonzo'],['Jerry Bruckheimer'],4090783.8074971205,0.0,0.0,18.084782423558902,71.71031327159952,18.90124847290652,1641973.024265624
19,,w12534,o6906,"""""""faster, pussycat! kill! kill!""""""",1965,45000.0,361221995.0,8026.155444444445,2065-08-06 00:00:00,8.0,3.0,218.0,31.0,0.0,,,[Russ Meyer],[EVE Productions],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,b4640,w13491,o16551,"""""""food, inc.""""""",2008,1000000.0,4600000.0,3.6,2009-06-12 00:00:00,6.0,2.0,163.0,23.0,0.0,94.0,2.0,[Kim Roberts],,,,,Magnolia,,,['Jeff Skoll'],[''],[''],[''],['Magnolia'],[''],[''],['Jeff Skoll'],0.0,0.0,0.0,13.796154551938669,0.0,0.0,59.67040516083917
21,b4672,w13534,o3376,"""""""for a good time, call...""""""",2012,1300000.0,1251749.0,-0.03711615384615385,2012-08-31 00:00:00,8.0,3.0,244.0,35.0,1.0,,4.0,[Evan Henke],[AdScott Pictures],"""['Ari Graynor', 'Justin Long']""",,,Focus Features,[John Swihart],[James Laxton],"""[Josh Kesselman, Lauren Miller, Jennifer Weinbaum]""","['Ari Graynor', 'Justin Long']",[''],[''],['Focus Features'],['John Swihart'],['James Laxton'],"['Josh Kesselman', 'Lauren Miller', 'Jennifer Weinbaum']",1047554.6811602974,0.0,0.0,106.13455366110475,114.23940504615385,41.66019817948718,63196.58095923076
22,,w13671,o15157,"""""""forever, darling""""""",1956,951000.0,2288000.0,1.405888538380652,2056-02-09 00:00:00,2.0,1.0,40.0,6.0,0.0,,,"""[Dann Cahn, Bud Molin]""",,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,w14321,o17609,"""""""gaily, gaily""""""",1969,9000000.0,1000000.0,-0.8888888888888888,1970-03-23 00:00:00,3.0,1.0,82.0,12.0,0.0,,,"""[Byron W. Brandt, Ralph E. Winters]""",[The Mirisch Corporation],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,b5076,w14969,,"""""""girl, interrupted """"""",1999,40000000.0,48300000.0,0.2075,1999-12-21 00:00:00,12.0,4.0,355.0,51.0,1.0,127.0,4.0,[Kevin Tent],,"""['Winona Ryder', 'Angelina Jolie', 'Brittany Murphy', 'Elisabeth Moss']""",['James Mangold'],['James Mangold'],Sony / Columbia,['Mychael Danna'],[Jack N. Green],"""['Cathy Konrad', 'Douglas Wick']""","['Winona Ryder', 'Angelina Jolie', 'Brittany Murphy', 'Elisabeth Moss']",['James Mangold'],['James Mangold'],['Sony / Columbia'],['Mychael Danna'],['Jack N. Green'],"['Cathy Konrad', 'Douglas Wick']",5638964.359931783,17.756230974275898,13.078135736180657,10323350.972545363,28.632849714338708,41.01615033812685,32.99212867481875
25,,w15187,o15163,"""""""godzilla, king of the monsters!""""""",1956,650000.0,2000000.0,2.0769230769230766,2056-04-27 00:00:00,4.0,2.0,118.0,17.0,0.0,,,[Terry Morse],"""[Toho, Jewell Enterprises]""",,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,b5208,w15390,o1362,"""""""good morning, vietnam""""""",1987,13000000.0,123900000.0,8.53076923076923,1987-12-25 00:00:00,12.0,4.0,359.0,51.0,1.0,120.0,4.0,[Stu Linder],[Touchstone Pictures],"""['Forest Whitaker', 'Robin Williams']""",['Barry Levinson'],,Buena Vista,[Alex North],['Peter Sova'],['Mark Johnson'],"['Forest Whitaker', 'Robin Williams']",['Barry Levinson'],[''],['Buena Vista'],['Alex North'],['Peter Sova'],['Mark Johnson'],137.02636564362115,31.73226934074038,0.0,9337938.263981039,21.948146362265767,14.132954247089948,42.886511168530106
27,b5211,w15396,o18273,"""""""good night, and good luck""""""",2005,7000000.0,56500000.0,7.071428571428571,2005-10-07 00:00:00,10.0,4.0,280.0,40.0,1.0,93.0,2.0,[Stephen Mirrione],"""[2929 Entertainment, Participant Productions, Section Eight Productions, Davis Films]""","""['David Strathairn', 'Patricia Clarkson', 'George Clooney', 'Jeff Daniels', 'Frank Langella']""",['George Clooney'],"""['George Clooney', 'Grant Heslov']""",Warner Independent,,['Robert Elswit'],"""['Jennifer Fox', 'Samuel Hadida', 'Grant Heslov', 'Jeff Skoll', 'Steven Soderbergh']""","['David Strathairn', 'Patricia Clarkson', 'George Clooney', 'Jeff Daniels', 'Frank Langella']",['George Clooney'],"['George Clooney', 'Grant Heslov']",['Warner Independent'],[''],['Robert Elswit'],"['Jennifer Fox', 'Samuel Hadida', 'Grant Heslov', 'Jeff Skoll', 'Steven Soderbergh']",144.42646977889456,13.181107825944169,26.73142857142857,5.235977745711488,0.0,40.05225306964589,127.28554584040619
28,,w15444,,"""""""goodbye, columbus """"""",,1500000.0,22939805.0,14.293203333333333,,,,,,,,,[Ralph Rosenblum],[Willow Tree],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,,w15448,o1786,"""""""goodbye, my fancy""""""",1951,1312000.0,1300000.0,-0.009146341463414634,2051-05-19 00:00:00,5.0,2.0,139.0,20.0,0.0,,,[Rudi Fehr],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,b5270,w15575,o3171,"""""""grandview, u.s.a.""""""",1984,5000000.0,4743119.0,-0.0513762,1984-08-03 00:00:00,8.0,3.0,216.0,31.0,0.0,97.0,4.0,[Robert Gordon],[CBS Theatrical Films],"""['Jamie Lee Curtis', 'C. Thomas Howell', 'Patrick Swayze', 'Troy Donahue', 'Jennifer Jason Leigh', 'John Cusack*']""",,,Warner Bros.,"""['Thomas Newman', 'Thomas Newman']""",[Reynaldo Villalobos],"""[William Blaylock, Peter W. Rea]""","['Jamie Lee Curtis', 'C. Thomas Howell', 'Patrick Swayze', 'Troy Donahue', 'Jennifer Jason Leigh', 'John Cusack']",[''],[''],['Warner Bros.'],"['Thomas Newman', 'Thomas Newman']",['Reynaldo Villalobos'],"['William Blaylock', 'Peter W. Rea']",3540989.780769829,0.0,0.0,15505963.552973289,2466198.2490643403,14.646704069337275,-0.1027524
31,b5393,w16111,o5374,"""""""hail, caesar!""""""",2016,22000000.0,63600000.0,1.8909090909090909,2016-02-05 00:00:00,2.0,1.0,36.0,5.0,0.0,106.0,3.0,"""[Joel Coen, Ethan Coen]""",,"""['Josh Brolin', 'George Clooney', 'Ralph Fiennes', 'Tilda Swinton', 'Channing Tatum', 'Scarlett Johansson', 'Jonah Hill']""","""['Ethan Coen', 'Joel Coen']""","""['Ethan Coen', 'Joel Coen']""",Universal,['Carter Burwell'],['Roger Deakins'],"""['Tim Bevan', 'Ethan Coen', 'Joel Coen', 'Eric Fellner']""","['Josh Brolin', 'George Clooney', 'Ralph Fiennes', 'Tilda Swinton', 'Channing Tatum', 'Scarlett Johansson', 'Jonah Hill']","['Ethan Coen', 'Joel Coen']","['Ethan Coen', 'Joel Coen']",['Universal'],['Carter Burwell'],['Roger Deakins'],"['Tim Bevan', 'Ethan Coen', 'Joel Coen', 'Eric Fellner']",7025301.47258194,48.82377241179661,69.2597472047148,5289808.384345475,2444505.313570383,45.92745394060534,11100146.01038865
32,,w16333,,"""""""happy, texas """"""",,1750000.0,3920000.0,1.24,,,,,,,,,[Norman Buckley],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,,w16550,o4310,"""""""have rocket, will travel""""""",1959,380000.0,2500000.0,5.57894736842105,2059-08-01 00:00:00,8.0,3.0,213.0,30.0,0.0,,,[Danny B. Landres],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,b5565,w16607,o13755,"""""""he said, she said""""""",1991,15000000.0,9804775.0,-0.3463483333333333,1991-02-22 00:00:00,2.0,1.0,53.0,7.0,1.0,115.0,3.0,[Sidney Levin],,"""['Kevin Bacon', 'Sharon Stone']""",['Ken Kwapis'],,Paramount,[Miles Goodman],[Stephen H. Burum],"""[Frank Mancuso Jr., Vikki Williams]""","['Kevin Bacon', 'Sharon Stone']",['Ken Kwapis'],[''],['Paramount'],['Miles Goodman'],['Stephen H. Burum'],"['Frank Mancuso Jr.', 'Vikki Williams']",4093062.979355018,2.8997609158333333,0.0,10229619.047976788,81.88151013174843,16.854483849124286,-0.15990152900432897
35,,w16794,o11913,"""""""heaven knows, mr. allison""""""",1957,2905000.0,4200000.0,0.4457831325301205,2057-03-13 00:00:00,3.0,1.0,72.0,10.0,0.0,,,[Russell Lloyd],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,,w16956,,"""""""hello, dolly! """"""",,25000000.0,26000000.0,0.04,,,,,,,,,[William Reynolds],[Chenault Productions],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,b5660,w16960,o8879,"""""""hello, my name is doris""""""",2015,1000000.0,14700000.0,13.7,2016-03-11 00:00:00,3.0,1.0,71.0,10.0,0.0,90.0,4.0,[Robert Nassau],"""[Haven Entertainment, Red Crown]""","""['Sally Field', 'Peter Gallagher', 'Max Greenfield', 'Natasha Lyonne']""",['Michael Showalter'],,Roadside Attractions,[Brian H. Kim],[Brian Burgoyne],"""[Daniel Crown, Kevin Mann, Riva Marker, Jordana Mollick, Daniela Taplin Lundberg]""","['Sally Field', 'Peter Gallagher', 'Max Greenfield', 'Natasha Lyonne']",['Michael Showalter'],[''],['Roadside Attractions'],['Brian H. Kim'],['Brian Burgoyne'],"['Daniel Crown', 'Kevin Mann', 'Riva Marker', 'Jordana Mollick', 'Daniela Taplin Lundberg']",3295379.227577083,13.7,0.0,34.76708461134453,13.7,13.7,65.5453885
38,,w17393,o5723,"""""""hips, hips, hooray!""""""",1934,336000.0,625000.0,0.8601190476190477,2034-02-02 00:00:00,2.0,1.0,33.0,5.0,0.0,,,[Basil Wrangell],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,b5785,w17494,o11034,"""""""history of the world, part i""""""",1981,10000000.0,31700000.0,2.17,1981-06-12 00:00:00,6.0,2.0,163.0,23.0,0.0,92.0,4.0,[John C. Howard],[Brooksfilms],Mel Brooks|Dom DeLuise|Madeline Kahn|Harvey Korman,['Mel Brooks'],,Fox,[John Morris],[Woody Omens],[Mel Brooks],"['Mel Brooks', 'Dom DeLuise', 'Madeline Kahn', 'Harvey Korman']",['Mel Brooks'],[''],['Fox'],['John Morris'],['Woody Omens'],['Mel Brooks'],134.7850313859076,91.96120169683908,0.0,13539473.716561431,131.11320384463113,10.74057182051282,13.695862500871554
40,b5862,w17811,o7500,"""""""honey, i blew up the kid""""""",1992,40000000.0,76000000.0,0.9,1992-07-17 00:00:00,7.0,3.0,199.0,28.0,0.0,89.0,2.0,[Harry Hitner],[Walt Disney Pictures],Rick Moranis|Marcia Strassman|Robert Oliveri|Daniel Shalikar,Randal Kleiser,,Buena Vista,[Bruce Broughton],[John Hora],"""[Dawn Steel, Edward S. Feldman]""","['Rick Moranis', 'Marcia Strassman', 'Robert Oliveri', 'Daniel Shalikar']",['Randal Kleiser'],[''],['Buena Vista'],['Bruce Broughton'],['John Hora'],"['Dawn Steel', 'Edward S. Feldman']",9.805669720104706,1.7177347777777778,0.0,9337938.263981039,-1.9787242170893715,25.53640404040404,4.689481481481482
41,b5863,w17812,o15880,"""""""honey, i shrunk the kids""""""",1989,18000000.0,222700000.0,11.372222222222225,1989-06-23 00:00:00,6.0,2.0,174.0,25.0,0.0,94.0,2.0,[Michael A. Stevenson],[Walt Disney Pictures],,['Joe Johnston'],,Buena Vista,['James Horner'],[Hiro Narita],['Jon Landau'],[''],['Joe Johnston'],[''],['Buena Vista'],['James Horner'],['Hiro Narita'],['Jon Landau'],0.0,20.793440807698875,0.0,9337938.263981039,3295300.6519635036,13.53527777777778,11.372222222222225
42,,w17889,,"""""""hook, line and sinker (1930 film)""""""",,287000.0,780000.0,1.7177700348432057,,,,,,,,,[Archie Marshek],[RKO Radio Pictures],,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,,w18245,o9476,"""""""how to be very, very popular""""""",1955,1565000.0,3700000.0,1.3642172523961662,2056-01-06 00:00:00,1.0,1.0,6.0,1.0,0.0,,,[Louis Loeffler],,,,,,,,,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,b6039,w18452,o19529,"""""""hush... hush, sweet charlotte""""""",1964,2235000.0,4000000.0,0.7897091722595079,2064-12-25 00:00:00,12.0,4.0,360.0,51.0,0.0,133.0,6.0,[Michael Luciano],[The Associates and Aldrich],"""['Bette Davis', 'Olivia de Havilland', 'Joseph Cotten', 'Agnes Moorehead', 'Cecil Kellaway', 'Victor Buono', 'Mary Astor', 'Wesley Addy', 'William Campbell', 'Bruce Dern']""",['Robert Aldrich'],"""['Henry Farrell', 'Lukas Heller']""",Fox,['Frank De Vol'],['Joseph F. Biroc'],['Robert Aldrich'],"['Bette Davis', 'Olivia de Havilland', 'Joseph Cotten', 'Agnes Moorehead', 'Cecil Kellaway', 'Victor Buono', 'Mary Astor', 'Wesley Addy', 'William Campbell', 'Bruce Dern']",['Robert Aldrich'],"['Henry Farrell', 'Lukas Heller']",['Fox'],['Frank De Vol'],['Joseph F. Biroc'],['Robert Aldrich'],3540964.578261399,7.509554901579583,8.528531323043758,13539473.716561431,26.355304995028796,6.532236542390694,1.1206649692124355
45,b6090,w18600,,"""""""i love you, beth cooper """"""",2009,18000000.0,15800000.0,-0.12222222222222222,2009-07-10 00:00:00,7.0,3.0,191.0,27.0,1.0,102.0,3.0,[Peter Honess],"""[1492 Pictures, The Bridge Studios, Ingenious Film Partners, Fox Atomic]""",['Hayden Panettiere'],['Chris Columbus'],,Fox,['Christophe Beck'],[Phil Abraham],['Chris Columbus'],['Hayden Panettiere'],['Chris Columbus'],[''],['Fox'],['Christophe Beck'],['Phil Abraham'],['Chris Columbus'],8.994408878402131,49.45822018815154,0.0,13539473.716561431,10357602.803421363,-0.4492609914529915,23.96483225291614
46,b6094,w18603,o18727,"""""""i love you, man""""""",2009,40000000.0,91600000.0,1.29,2009-03-20 00:00:00,3.0,1.0,79.0,11.0,0.0,104.0,4.0,[William Kerr],,"""['Paul Rudd', 'Jason Segel', 'Rashida Jones', 'Andy Samberg', 'Jon Favreau', 'Aziz Ansari*']""",['John Hamburg'],,Paramount (DreamWorks),['Theodore Shapiro'],['Larry Sher'],"""['Bill Johnson', 'Tom Pollock']""","['Paul Rudd', 'Jason Segel', 'Rashida Jones', 'Andy Samberg', 'Jon Favreau', 'Aziz Ansari']",['John Hamburg'],[''],['Paramount (DreamWorks)'],['Theodore Shapiro'],['Larry Sher'],"['Bill Johnson', 'Tom Pollock']",7342387.835408939,3.4547716190476176,0.0,8579701.403204354,49.326391804578606,47.172918969505766,25.17582877087974
47,b6153,w18709,o9994,"""""""i, frankenstein""""""",2014,65000000.0,71200000.0,0.0953846153846154,2014-01-24 00:00:00,1.0,1.0,24.0,3.0,1.0,92.0,3.0,[Marcus D'Arcy],"""[Lakeshore Entertainment, Hopscotch Features, Sidney Kimmel Entertainment]""","""['Aaron Eckhart', 'Bill Nighy', 'Yvonne Strahovski', 'Miranda Otto', 'Jai Courtney']""",['Stuart Beattie'],['Stuart Beattie'],Lionsgate,"""[Johnny Klimek, Reinhold Heil]""",[Ross Emery],"""['Gary Lucchesi', 'Tom Rosenberg', 'Richard Wright']""","['Aaron Eckhart', 'Bill Nighy', 'Yvonne Strahovski', 'Miranda Otto', 'Jai Courtney']",['Stuart Beattie'],['Stuart Beattie'],['Lionsgate'],"['Johnny Klimek', 'Reinhold Heil']",['Ross Emery'],"['Gary Lucchesi', 'Tom Rosenberg', 'Richard Wright']",1047533.754243541,0.0953846153846154,3.174725274725275,194.92937217490604,15.813390173626374,2.661933182051282,73.49051885964323
