index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,bom_awards,bom_awards_scr,actor_clean,director_clean,writer_clean,distributor_clean,composer_clean,cinematographer_clean,producer_clean,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
10,b3073,w8228,,"""corrina, corrina """,1994,22000000.0,20164171.0,-0.08344677272727273,1994-08-12 00:00:00,8.0,3.0,224.0,32.0,0.0,,2.0,,0.0,"['Whoopi Goldberg', 'Ray Liotta']",['Jessie Nelson'],[''],['New Line'],['Thomas Newman'],['Bruce Surtees'],"['Bernie Goldmann', 'Steve Tisch']",26.29968939699335,2.619510992869875,0.0,8.540224353427202,9.58257943791504,4.917596494381536,19.920530959547815
11,b3123,w8498,o2497,"""crazy, stupid, love""",2011,50000000.0,142851197.0,1.85702394,2011-07-29 00:00:00,7.0,3.0,210.0,30.0,0.0,,3.0,,0.0,"['Analeigh Tipton', 'Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone', 'Marisa Tomei', 'Kevin Bacon', 'John Carroll Lynch', 'Josh Groban', 'Joey King', 'Crystal Reed']","['Glenn Ficarra', 'John Requa']",['Dan Fogelman'],['Warner Bros.'],"['Christophe Beck', 'Nick Urata']",['Andrew Dunn'],"['Steve Carell', 'Denise Di Novi']",96.31291408517227,2.1427610279215195,2.7522558412108262,10192.334247628845,9.00134888240348,13.285013931113212,7.338545617065787
12,b3171,w8677,o10607,"""crouching tiger, hidden dragon""",2000,17000000.0,213525736.0,11.560337411764705,2000-12-08 00:00:00,12.0,4.0,343.0,49.0,0.0,,3.0,"""Nominated for Ten Oscars, Including Four Wins.""",30.0,['Zhang Ziyi'],['Ang Lee'],"['James Schamus', 'Kuo Jung Tsai']",['Sony Classics'],['Tan Dun'],['Peter Pau'],"['Bill Kong', 'Hsu Li-kong', 'Ang Lee']",29.05256058006536,23.268805194024228,59.85367165713612,6.865590987752077,41.560337411764706,31.72017884611983,118.23087341188726
13,b3186,w8751,,"""cry, the beloved country (1995 film)""",1995,4000000.0,676525.0,-0.83086875,1995-12-15 00:00:00,12.0,4.0,349.0,50.0,0.0,,3.0,,0.0,"['James Earl Jones', 'Richard Harris']",[''],[''],['Miramax'],['John Barry'],['Paul Gilpin'],"['Anant Singh', 'Harry Alan Towers']",3.958070881517094,0.0,0.0,16.83915618617964,15.738151353611077,-0.83086875,-1.6617375
14,,w9032,o1527,"""dance, fools, dance""",1931,234000.0,1268000.0,4.418803418803419,2031-02-07 00:00:00,2.0,1.0,38.0,5.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,,w10344,o11442,"""dirty mary, crazy larry""",1974,1140000.0,28400000.0,23.91228070175439,1974-05-17 00:00:00,5.0,2.0,137.0,19.0,0.0,,2.0,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,b3890,w11190,o10624,"""dude, where's my car?""",2000,13000000.0,73180723.0,4.6292863846153836,2000-12-15 00:00:00,12.0,4.0,350.0,50.0,0.0,,3.0,,0.0,"['Ashton Kutcher', 'Jennifer Garner']",[''],[''],['Fox'],['David Kitay'],['Robert M. Stevens'],"['Broderick Johnson', 'Andrew A. Kosove']",13.723066038827987,0.0,0.0,7.210996848464946,5.020899153302259,1.149024551695253,12.184502912589082
17,,w11373,,"""east side, west side (1949 film)""",,1754000.0,2540000.0,0.4481185860889396,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,b3982,w11466,o12452,"""edison, the man""",1940,893000.0,1787000.0,1.0011198208286674,2040-05-10 00:00:00,5.0,2.0,131.0,19.0,0.0,,6.0,,0.0,"['Spencer Tracy', 'Rita Johnson', 'Lynne Overman', 'Charles Coburn', 'Gene Lockhart', 'Henry Travers']",['Clarence Brown'],['Talbot Jennings'],['MGM'],['Herbert Stothart'],['Harold Rosson'],['John W. Considine'],10.113399187654236,1.6193706124369227,0.8504795041845363,7055.647545642367,1.3283042944447743,1.9298947942832427,2.6287982523832456
19,,w11483,o23097,"""edward, my son""",1-Mar,2421000.0,2142000.0,-0.11524163568773235,2049-06-01 00:00:00,6.0,2.0,152.0,22.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,b4062,w11586,o11722,"""elvira, mistress of the dark""",1988,7500000.0,5596267.0,-0.25383106666666666,1988-09-30 00:00:00,9.0,3.0,274.0,39.0,0.0,,3.0,,0.0,"['Phil Rubenstein', 'Larry Flash Jenkins', 'Cassandra Peterson', 'Damita Jo Freeman']",['James Signorelli'],[''],['New World'],['James B. Campbell'],['Hanania Bier'],"['Eric Gardner', 'Mark Pierson']",-1.0153242666666666,-0.25383106666666666,0.0,2.809429294260014,-0.25383106666666666,-0.25383106666666666,-0.5076621333333333
21,b4379,w12472,,"""farewell, my lovely (1975 film)""",1975,2500000.0,2000000.0,-0.2,1975-08-08 00:00:00,8.0,3.0,220.0,31.0,0.0,,4.0,,0.0,['Sylvester Stallone'],[''],[''],['Embassy'],['David Shire'],['John A. Alonzo'],['Jerry Bruckheimer'],10.056242875086674,0.0,0.0,3.0141304039264836,15.4677885071008,9.075273384646971,40053.832117323174
22,,w12534,o6906,"""faster, pussycat! kill! kill!""",1965,45000.0,361221995.0,8026.155444444445,2065-08-06 00:00:00,8.0,3.0,218.0,31.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,b4546,,,"""first love, last rites""",,300000.0,42953.0,-0.8568233333333334,,,,,,,,4.0,,0.0,['Giovanni Ribisi'],['Jesse Peretz'],['Jesse Peretz'],['Strand'],['Craig Wedren'],['Ellis W. Carter'],[''],13.105873706812764,1.553200133333334,-0.8568233333333334,0.39432482679489045,1.6728906998677249,9.82531371489898,0.0
24,b4640,w13491,o16551,"""food, inc.""",2008,1000000.0,4600000.0,3.6,2009-06-12 00:00:00,6.0,2.0,163.0,23.0,0.0,,2.0,Nominated for One Oscar.,1.0,[''],[''],[''],['Magnolia'],[''],[''],['Jeff Skoll'],0.0,0.0,0.0,1.1977919934573633,0.0,0.0,10.665645093508362
25,b4672,w13534,o3376,"""for a good time, call...""",2012,1300000.0,1251749.0,-0.03711615384615385,2012-08-31 00:00:00,8.0,3.0,244.0,35.0,1.0,,4.0,,0.0,"['Ari Graynor', 'Justin Long']",[''],[''],['Focus Features'],['John Swihart'],['James Laxton'],"['Josh Kesselman', 'Lauren Miller', 'Jennifer Weinbaum']",2.644370430178911,0.0,0.0,9.396704610602326,19.047009438247866,33.40322979487179,-0.5722511346153846
26,,w13539,,"""for better, for worse (1919 film)""",,,256072.97,0.0,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,,w13671,o15157,"""forever, darling""",1956,951000.0,2288000.0,1.405888538380652,2056-02-09 00:00:00,2.0,1.0,40.0,6.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,,w14321,o17609,"""gaily, gaily""",1969,9000000.0,1000000.0,-0.8888888888888888,1970-03-23 00:00:00,3.0,1.0,82.0,12.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,b5076,w14969,,"""girl, interrupted """,1999,40000000.0,48350205.0,0.208755125,1999-12-21 00:00:00,12.0,4.0,355.0,51.0,1.0,,4.0,"""Nominated for One Oscar, Including One Win.""",6.0,"['Winona Ryder', 'Angelina Jolie', 'Brittany Murphy', 'Elisabeth Moss']",['James Mangold'],['James Mangold'],['Sony / Columbia'],['Mychael Danna'],['Jack N. Green'],"['Cathy Konrad', 'Douglas Wick']",25.203448657644113,8.40722278412487,11.266395377206063,2840.565765788319,11.304270788225713,9.507250746407966,22.087942251668636
30,b5089,,,"""give 'em hell, harry!""",,230000.0,11000000.0,46.82608695652174,,,,,,,,2.0,,0.0,[''],[''],[''],['Unknown'],[''],['Ellis W. Carter'],[''],0.0,0.0,0.0,7.283307604142512,0.0,9.82531371489898,0.0
31,,w15187,o15163,"""godzilla, king of the monsters!""",1956,650000.0,2000000.0,2.0769230769230766,2056-04-27 00:00:00,4.0,2.0,118.0,17.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,b5208,w15390,o1362,"""good morning, vietnam""",1987,13000000.0,123900000.0,8.53076923076923,1987-12-25 00:00:00,12.0,4.0,359.0,51.0,1.0,,4.0,Nominated for One Oscar.,1.0,"['Forest Whitaker', 'Robin Williams']",['Barry Levinson'],[''],['Buena Vista'],['Alex North'],['Peter Sova'],['Mark Johnson'],19.111519934560555,8.189797535684747,0.0,7.158891728638755,10.05753668287515,2.459677049676661,8.370346569569815
33,b5211,w15396,o18273,"""good night, and good luck""",2005,7000000.0,54641191.0,6.805884428571429,2005-10-07 00:00:00,10.0,4.0,280.0,40.0,1.0,,2.0,Nominated for Six Oscars.,6.0,"['David Strathairn', 'Patricia Clarkson', 'George Clooney', 'Jeff Daniels', 'Frank Langella']",['George Clooney'],"['George Clooney', 'Grant Heslov']",['Warner Independent'],[''],['Robert Elswit'],"['Jennifer Fox', 'Samuel Hadida', 'Grant Heslov', 'Jeff Skoll', 'Steven Soderbergh']",41.83995343224141,6.082492488998358,15.733294714285714,3.015530387223807,0.0,7.173096777631101,42.91455954454707
34,,w15444,,"""goodbye, columbus """,,1500000.0,22939805.0,14.293203333333333,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,,w15448,o1786,"""goodbye, my fancy""",1951,1312000.0,1300000.0,-0.009146341463414634,2051-05-19 00:00:00,5.0,2.0,139.0,20.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,b5270,w15575,o3171,"""grandview, u.s.a.""",1984,5000000.0,4743119.0,-0.0513762,1984-08-03 00:00:00,8.0,3.0,216.0,31.0,0.0,,4.0,,0.0,"['Jamie Lee Curtis', 'C. Thomas Howell', 'Patrick Swayze', 'Troy Donahue', 'Jennifer Jason Leigh', 'John Cusack']",[''],[''],['Warner Bros.'],"['Thomas Newman', 'Thomas Newman']",['Reynaldo Villalobos'],"['William Blaylock', 'Peter W. Rea']",41.50261588206754,0.0,0.0,10192.334247628845,19.16515887583008,2.126507143795175,-0.1027524
37,b5393,w16111,o5374,"""hail, caesar!""",2016,22000000.0,63647656.0,1.8930752727272728,2016-02-05 00:00:00,2.0,1.0,36.0,5.0,0.0,,3.0,Nominated for One Oscar.,1.0,"['Josh Brolin', 'George Clooney', 'Ralph Fiennes', 'Tilda Swinton', 'Channing Tatum', 'Scarlett Johansson', 'Jonah Hill']","['Ethan Coen', 'Joel Coen']","['Ethan Coen', 'Joel Coen']",['Universal'],['Carter Burwell'],['Roger Deakins'],"['Tim Bevan', 'Ethan Coen', 'Joel Coen', 'Eric Fellner']",67.5601063272485,21.6864109026817,18.962330314666445,10.61034975822026,7.748921655625175,8.04858426463502,231391.8562664126
38,,w16333,,"""happy, texas """,,1750000.0,3920000.0,1.24,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,b5480,,,"""happy, texas""",,2500000.0,1955933.0,-0.2176268,,,,,,,,3.0,,0.0,['William H. Macy'],[''],[''],['Miramax'],[''],['Ellis W. Carter'],['Jason Clark'],4.636427616269918,0.0,0.0,16.83915618617964,0.0,9.82531371489898,3.2739346370405964
40,,w16550,o4310,"""have rocket, will travel""",1959,380000.0,2500000.0,5.57894736842105,2059-08-01 00:00:00,8.0,3.0,213.0,30.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,b5565,w16607,o13755,"""he said, she said""",1991,15000000.0,9804775.0,-0.3463483333333333,1991-02-22 00:00:00,2.0,1.0,53.0,7.0,1.0,,3.0,,0.0,"['Kevin Bacon', 'Sharon Stone']",['Ken Kwapis'],[''],['Paramount'],['Miles Goodman'],['Stephen H. Burum'],"['Frank Mancuso Jr.', 'Vikki Williams']",11.541288868504589,0.3624276613541666,0.0,10058.271040349393,7.118018898859277,6.436406098461697,-0.2997366322510822
42,,w16794,o11913,"""heaven knows, mr. allison""",1957,2905000.0,4200000.0,0.4457831325301205,2057-03-13 00:00:00,3.0,1.0,72.0,10.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,,w16956,,"""hello, dolly! """,,25000000.0,26000000.0,0.04,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,b5660,w16960,o8879,"""hello, my name is doris""",2015,1000000.0,14700000.0,13.7,2016-03-11 00:00:00,3.0,1.0,71.0,10.0,0.0,,4.0,,0.0,"['Sally Field', 'Peter Gallagher', 'Max Greenfield', 'Natasha Lyonne']",['Michael Showalter'],[''],['Roadside Attractions'],['Brian H. Kim'],['Brian Burgoyne'],"['Daniel Crown', 'Kevin Mann', 'Riva Marker', 'Jordana Mollick', 'Daniela Taplin Lundberg']",40.30095812500842,13.7,0.0,8.244847337516607,13.7,13.7,46.472694249999996
45,,w17393,o5723,"""hips, hips, hooray!""",1934,336000.0,625000.0,0.8601190476190477,2034-02-02 00:00:00,2.0,1.0,33.0,5.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,b5785,w17494,o11034,"""history of the world, part i""",1981,10000000.0,31700000.0,2.17,1981-06-12 00:00:00,6.0,2.0,163.0,23.0,0.0,,4.0,,0.0,"['Mel Brooks', 'Dom DeLuise', 'Madeline Kahn', 'Harvey Korman']",['Mel Brooks'],[''],['Fox'],['John Morris'],['Woody Omens'],['Mel Brooks'],34.10733466726053,10.196234044753801,0.0,7.210996848464946,12.431905471911016,5.080190606837606,6.2120071010704825
47,b5862,w17811,o7500,"""honey, i blew up the kid""",1992,40000000.0,76000000.0,0.9,1992-07-17 00:00:00,7.0,3.0,199.0,28.0,0.0,,2.0,,0.0,"['Rick Moranis', 'Marcia Strassman', 'Robert Oliveri', 'Daniel Shalikar']",['Randal Kleiser'],[''],['Buena Vista'],['Bruce Broughton'],['John Hora'],"['Dawn Steel', 'Edward S. Feldman']",4.121269630977463,0.5725782592592593,0.0,7.158891728638755,1.3765010265360809,5.306303030303031,2.8569462149891067
48,b5863,w17812,o15880,"""honey, i shrunk the kids""",1989,18000000.0,222700000.0,11.372222222222225,1989-06-23 00:00:00,6.0,2.0,174.0,25.0,0.0,,2.0,,0.0,[''],['Joe Johnston'],[''],['Buena Vista'],['James Horner'],['Hiro Narita'],['Jon Landau'],0.0,8.141041788494434,0.0,7.158891728638755,13.365788665798153,5.4256643277777785,51.35174159263003
49,,w17889,,"""hook, line and sinker (1930 film)""",,287000.0,780000.0,1.7177700348432057,,,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,,w18245,o9476,"""how to be very, very popular""",1955,1565000.0,3700000.0,1.3642172523961662,2056-01-06 00:00:00,1.0,1.0,6.0,1.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,b6039,w18452,o19529,"""hush... hush, sweet charlotte""",1964,2235000.0,4000000.0,0.7897091722595079,2064-12-25 00:00:00,12.0,4.0,360.0,51.0,0.0,,6.0,,0.0,"['Bette Davis', 'Olivia de Havilland', 'Joseph Cotten', 'Agnes Moorehead', 'Cecil Kellaway', 'Victor Buono', 'Mary Astor', 'Wesley Addy', 'William Campbell', 'Bruce Dern']",['Robert Aldrich'],"['Henry Farrell', 'Lukas Heller']",['Fox'],['Frank De Vol'],['Joseph F. Biroc'],['Robert Aldrich'],22.525626812782413,1.7106064237941774,3.3693165558542573,7.210996848464946,5.4780897924840195,1.6330591355976736,0.3735549897374785
52,b6090,w18600,,"""i love you, beth cooper """,2009,18000000.0,15821907.0,-0.12100516666666665,2009-07-10 00:00:00,7.0,3.0,191.0,27.0,1.0,,3.0,,0.0,['Hayden Panettiere'],['Chris Columbus'],[''],['Fox'],['Christophe Beck'],['Phil Abraham'],['Chris Columbus'],1.6920501198444073,8.98461198526925,0.0,7.210996848464946,8.169993830090558,-0.22402196794871795,7.21528316007994
53,b6094,w18603,o18727,"""i love you, man""",2009,40000000.0,91600000.0,1.29,2009-03-20 00:00:00,3.0,1.0,79.0,11.0,0.0,,4.0,,0.0,"['Paul Rudd', 'Jason Segel', 'Rashida Jones', 'Andy Samberg', 'Jon Favreau', 'Aziz Ansari']",['John Hamburg'],[''],['Paramount (DreamWorks)'],['Theodore Shapiro'],['Larry Sher'],"['Bill Johnson', 'Tom Pollock']",43.85165162172784,1.383459149122807,0.0,5.129895467564632,2.6754603920877518,4.036070360751629,9.770875204744724
54,b6095,,,"""i love you, phillip morris""",,13000000.0,20722843.0,0.5940648461538461,,,,,,,,4.0,,0.0,"['Jim Carrey', 'Ewan McGregor', 'Leslie Mann']","['Glenn Ficarra', 'John Requa']","['Glenn Ficarra', 'John Requa']",['Roadside Attractions'],['Nick Urata'],['Ellis W. Carter'],['Andrew Lazar'],16.969007638845223,2.1427610279215195,2.9672089846394933,8.244847337516607,0.8313550523129222,9.82531371489898,6.733717285830071
55,b6153,w18709,o9994,"""i, frankenstein""",2014,65000000.0,71154592.0,0.09468603076923077,2014-01-24 00:00:00,1.0,1.0,24.0,3.0,1.0,,3.0,,0.0,"['Aaron Eckhart', 'Bill Nighy', 'Yvonne Strahovski', 'Miranda Otto', 'Jai Courtney']",['Stuart Beattie'],['Stuart Beattie'],['Lionsgate'],"['Johnny Klimek', 'Reinhold Heil']",['Ross Emery'],"['Gary Lucchesi', 'Tom Rosenberg', 'Richard Wright']",21.6105996653258,0.09468603076923077,5.523876751774575,7.999250695862709,2.1783502102411476,0.8871566602564102,31.065004014549455
56,b6155,w18712,,"""i, robot """,2004,120000000.0,347234916.0,1.8936243000000001,2004-07-16 00:00:00,7.0,3.0,198.0,28.0,0.0,,3.0,Nominated for One Oscar.,1.0,"['Will Smith', 'Bridget Moynahan', 'Alan Tudyk', 'James Cromwell', 'Bruce Greenwood', 'Chi McBride', 'Shia LaBeouf']",['Alex Proyas'],"['Jeff Vintar', 'Akiva Goldsman']",['Fox'],['Marco Beltrami'],['Simon Duggan'],"['John Davis', 'Wyck Godfrey', 'James Lassiter', 'Laurence Mark', 'Will Smith']",36.34101684486143,2.547262635238095,14.582321225043042,7.210996848464946,12.286986137699039,11.988777320822111,24.628927062958713
57,b6483,w19718,o7367,"""it's a mad, mad, mad, mad world""",1963,9400000.0,46332858.0,3.929027446808511,2063-11-07 00:00:00,11.0,4.0,311.0,44.0,0.0,,7.0,,0.0,"['Spencer Tracy', 'Milton Berle', 'Sid Caesar', 'Buddy Hackett']",['Stanley Kramer'],[''],['MGM'],['Ernest Gold'],['Ernest Laszlo'],['Stanley Kramer'],18.700157897794444,3.9831028033256657,0.0,7055.647545642367,2.0874535933806144,3.516759459332725,6.464838597287413
58,b6581,w19975,o2571,"""jeff, who lives at home""",2011,7500000.0,4400000.0,-0.4133333333333333,2012-03-16 00:00:00,3.0,1.0,76.0,11.0,0.0,,4.0,,0.0,"['Jason Segel', 'Ed Helms', 'Susan Sarandon', 'Judy Greer']","['Jay Duplass', 'Mark Duplass']","['Jay Duplass', 'Mark Duplass']",['Paramount Vantage'],['Michael Andrews'],['Jas Shelton'],"['Steven M. Rales', 'Jason Reitman']",25.331151924912533,3.9930335317460313,7.981706825396825,8.636067826781753,1.9211115436633373,-0.4133333333333333,28.290461870943812
59,,w20136,o19711,"""joe smith, american""",1942,236000.0,708000.0,2.0,2042-02-01 00:00:00,2.0,1.0,32.0,4.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,b7297,w21811,o9739,"""legally blonde 2: red, white & blonde""",2003,45000000.0,124914842.0,1.775885377777778,2003-07-02 00:00:00,7.0,3.0,183.0,26.0,1.0,,3.0,,0.0,"['Reese Witherspoon', 'Sally Field', 'Jennifer Coolidge', 'Luke Wilson']",[''],[''],['MGM'],['Rolfe Kent'],['Elliot Davis'],['Marc Platt'],36.67749951042609,0.0,0.0,7055.647545642367,6.503072263481185,2.1612298835479264,11.620620504194168
61,b7414,,,"""life, or something like it""",,40000000.0,16872671.0,-0.578183225,,,,,,,,3.0,,0.0,['Angelina Jolie'],[''],['Dana Stevens'],['Fox'],[''],['Ellis W. Carter'],"['John Davis', 'Toby Jaffe', 'Arnon Milchan']",2.775715228423651,0.0,1.0241142619318182,7.210996848464946,0.0,9.82531371489898,13.34768724165133
62,,w22332,o9196,"""listen, darling""",1938,566000.0,583000.0,0.03003533568904593,2038-10-21 00:00:00,10.0,4.0,294.0,42.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,b7708,w23206,o2591,"""love, wedding, marriage""",2011,1200000.0,1926.0,-0.998395,2011-06-03 00:00:00,6.0,2.0,154.0,22.0,1.0,,3.0,,0.0,"['Mandy Moore', 'Kellan Lutz', 'James Brolin', 'Jane Seymour']",['Dermot Mulroney'],[''],['IFC'],['Blake Neely'],['OÌ\x81ttar GuÃ°nason'],['Michelle Chydzik Sowa'],12.573267172963476,-0.998395,0.0,9.555824000229709,0.48388132631578945,-0.99644305,-0.998395
64,b7753,w23414,o3837,"""lust, caution""",2007,15000000.0,67091915.0,3.4727943333333333,2007-09-28 00:00:00,9.0,3.0,271.0,38.0,0.0,,5.0,,0.0,"['Tony Leung', 'Joan Chen']",['Ang Lee'],['James Schamus'],['Focus Features'],['Alexandre Desplat'],['Rodrigo Prieto'],"['Ang Lee', 'William Kong', 'James Schamus']",6.945588666666667,23.268805194024228,18.29333424537141,9.396704610602326,13.784331558796866,13.584129024857418,66.42435538835784
65,,w24341,o11227,"""mary burns, fugitive""",1935,337152.0,513176.0,0.5220909263477601,2035-11-15 00:00:00,11.0,4.0,319.0,45.0,0.0,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,b8078,w24542,o8936,"""mcfarland, usa""",2015,17000000.0,45700000.0,1.688235294117647,2015-02-20 00:00:00,2.0,1.0,51.0,7.0,1.0,,2.0,,0.0,"['Maria Bello', 'Kevin Costner']",['Niki Caro'],[''],['Buena Vista'],['AntoÌ\x82nio Pinto'],['Adam Arkapaw'],"['Mark Ciardi', 'Gordon Gray']",14.366050832177915,4.463539573529412,0.0,7.158891728638755,1.688235294117647,0.9608189287058825,7.351871657754011
